Vgs,Ids,finger,width
0.55,0.030545812263280073,2.0,150.0
0.575,0.040050289241893904,2.0,150.0
0.6,0.04970269782626902,2.0,150.0
0.625,0.05933126196342062,2.0,150.0
0.65,0.06893549272805131,2.0,150.0
0.675,0.07851548224694528,2.0,150.0
0.7,0.08807132218241354,2.0,150.0
0.725,0.09760310373521759,2.0,150.0
0.75,0.10711091764747084,2.0,150.0
0.775,0.11643737571285538,2.0,150.0
0.8,0.12527913915578928,2.0,150.0
0.825,0.1336101427792097,2.0,150.0
0.85,0.14143050271023766,2.0,150.0
0.875,0.14874232472090818,2.0,150.0
0.9,0.15554807225080294,2.0,150.0
0.925,0.161850213911717,2.0,150.0
0.95,0.16765111035805152,2.0,150.0
0.975,0.1729529696113083,2.0,150.0
1.0,0.17775782714242813,2.0,150.0
1.025,0.18206753636646766,2.0,150.0
1.05,0.1858837639881037,2.0,150.0
1.075,0.18920798776655556,2.0,150.0
1.1,0.1920414955351257,2.0,150.0
1.125,0.19438538487558277,2.0,150.0
1.15,0.19624056311995355,2.0,150.0
1.175,0.19760774749209262,2.0,150.0
1.2,0.19848746527699787,2.0,150.0
0.0,1.4280779017003063e-27,4.0,25.0
0.025,3.917511968326603e-26,4.0,25.0
0.05,1.0746542610672395e-24,4.0,25.0
0.075,2.947998092072984e-23,4.0,25.0
0.1,8.08696626041864e-22,4.0,25.0
0.125,2.2184214933179262e-20,4.0,25.0
0.15,6.085587306209668e-19,4.0,25.0
0.175,1.6694020037693885e-17,4.0,25.0
0.2,4.579513709951252e-16,4.0,25.0
0.225,1.256254980662432e-14,4.0,25.0
0.25,3.4461662883759845e-13,4.0,25.0
0.275,9.453544280346671e-12,4.0,25.0
0.3,2.5933020049988053e-10,4.0,25.0
0.325,7.1139617822660925e-09,4.0,25.0
0.35,1.9515061705448946e-07,4.0,25.0
0.375,5.353372757751647e-06,4.0,25.0
0.4,0.0001022933522461091,4.0,25.0
0.425,0.0004936101552387788,4.0,25.0
0.45,0.001339551560417529,4.0,25.0
0.475,0.0027422207219704995,4.0,25.0
0.5,0.004729127080267617,4.0,25.0
0.525,0.007249604779752378,4.0,25.0
0.55,0.010181937421093358,4.0,25.0
0.575,0.013350096413964632,4.0,25.0
0.6,0.016567565942089673,4.0,25.0
0.625,0.0197770873211402,4.0,25.0
0.65,0.022978497576017103,4.0,25.0
0.675,0.02617182741564842,4.0,25.0
0.7,0.02935710739413784,4.0,25.0
0.725,0.0325343679117392,4.0,25.0
0.75,0.035703639215823604,4.0,25.0
0.775,0.03881245857095178,4.0,25.0
0.8,0.041759713051929756,4.0,25.0
0.825,0.04453671425973657,4.0,25.0
0.85,0.04714350090341255,4.0,25.0
0.875,0.049580774906969396,4.0,25.0
0.9,0.05184935741693432,4.0,25.0
0.925,0.05395007130390565,4.0,25.0
0.95,0.05588370345268384,4.0,25.0
